function,arguments,owner,security_definer,public_execute,anon_execute,authenticated_execute,service_role_execute,referenced_tables,risk
gbt_enum_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_enum_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_enum_same,"gbtreekey8, gbtreekey8, internal",supabase_admin,false,true,true,true,true,,High
gbt_enum_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_float4_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_float4_consistent,"internal, real, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_float4_distance,"internal, real, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_float4_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_float4_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_float4_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_float4_same,"gbtreekey8, gbtreekey8, internal",supabase_admin,false,true,true,true,true,,High
gbt_float4_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_float8_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_float8_consistent,"internal, double precision, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_float8_distance,"internal, double precision, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_float8_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_float8_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_float8_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_float8_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_float8_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_inet_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_inet_consistent,"internal, inet, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_inet_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_inet_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_inet_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_inet_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int2_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_int2_consistent,"internal, smallint, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_int2_distance,"internal, smallint, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_int2_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_int2_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int2_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int2_same,"gbtreekey4, gbtreekey4, internal",supabase_admin,false,true,true,true,true,,High
gbt_int2_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int4_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_int4_consistent,"internal, integer, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_int4_distance,"internal, integer, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_int4_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_int4_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int4_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int4_same,"gbtreekey8, gbtreekey8, internal",supabase_admin,false,true,true,true,true,,High
gbt_int4_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int8_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_int8_consistent,"internal, bigint, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_int8_distance,"internal, bigint, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_int8_fetch,internal,supabase_admin,false,true,true,true,true,,High
gbt_int8_penalty,"internal, internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int8_picksplit,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_int8_same,"gbtreekey16, gbtreekey16, internal",supabase_admin,false,true,true,true,true,,High
gbt_int8_union,"internal, internal",supabase_admin,false,true,true,true,true,,High
gbt_intv_compress,internal,supabase_admin,false,true,true,true,true,,High
gbt_intv_consistent,"internal, interval, smallint, oid, internal",supabase_admin,false,true,true,true,true,,High
gbt_intv_decompress,internal,supabase_admin,false,true,true,true,true,,High
