project,file,line,context
famille_shift_matching,src/app/api/admin/reentry-recruitment/route.ts,13,Route Handler / internal API
famille_shift_matching,src/app/api/admin/health-check-results/route.ts,21,Route Handler / internal API
famille_shift_matching,src/app/account/page.tsx,19,browser client
famille_shift_matching,src/app/account/page.tsx,34,browser client
famille_shift_matching,scripts/security/generate-pre-maintenance-audit.mjs,141,utility / lib
famille-voice54,supabase/functions/transcribe-recording/index.ts,105,Edge Function
famille-voice54,supabase/functions/recording-options/index.ts,48,Edge Function
famille-voice54,providers/auth-provider.tsx,9,browser/mobile client
famille-voice54,providers/auth-provider.tsx,29,browser/mobile client
famille-voice54,providers/auth-provider.tsx,41,browser/mobile client
famille-voice54,providers/auth-provider.tsx,54,browser/mobile client
famille-voice54,providers/auth-provider.tsx,55,browser/mobile client
famille-voice54,providers/auth-provider.tsx,68,browser/mobile client
famille-voice54,providers/auth-provider.tsx,77,browser/mobile client
famille-voice54,providers/auth-provider.tsx,81,browser/mobile client
famille-voice54,lib/recording-options.ts,24,browser/mobile client
famille-voice54,lib/supabase.ts,27,browser/mobile client
famille-voice54,lib/supabase.ts,29,browser/mobile client
famille-voice54,lib/transcription.ts,65,browser/mobile client
famille-voice54,components/login-screen.tsx,8,browser/mobile client
famille-voice54,components/login-screen.tsx,24,browser/mobile client
famille-voice54,app/(tabs)/index.tsx,176,browser/mobile client
